Topic	Count	Name	Representation	KeyBERT	MMR	Representative_Docs	about-label_prompt1	about-label_prompt2
9	94	9_universidad_escuela_educacin_clases	['universidad', 'escuela', 'educacin', 'clases', 'universidades', 'curso', 'educativas', 'estudiar', 'estudiantes', 'maestra', 'alumnos', 'formacin', 'secundaria', 'derecho', 'aula', 'instituciones', 'educativa', 'escolar', 'profesores', 'inscripciones', 'aprendizaje', 'docentes', 'facultad', 'gratuito', 'superior', 'acceso', 'instituto', 'nios', 'inicia', 'estudio']	['universitario', 'universidade', 'universidad', 'universidades', 'curso', 'escolar', 'acadmicas', 'secundaria', 'instituto', 'facultad']	['escuela', 'clases', 'universidades', 'curso', 'educativas', 'alumnos', 'secundaria', 'educativa', 'escolar', 'docentes']	['atencin l la personera de acoge y apoya con responsabilidad las decisiones del seor presidente de la repblica de suspender las clases en instituciones educativas universidades y centros de formacin en todo el pas portusderechosmscerca', 'i m at facultad de derecho universidad nacional de in ', 'i m at universidad del sin in ']	" Education & University
This is"	" ""Education & Universities"" Name("
10	78	10_hotel_capital_suites_ciudad	['hotel', 'capital', 'suites', 'ciudad', 'central', 'hotels', 'eurobuilding', 'centro', 'located', 'departamento', 'city', 'hoteles', 'living', 'discover', 'around', 'away', 'sur', 'amp', 'visitando', 'metropolitana', 'norte', 'ubicado', 'municipalidad', 'night', 'bonito', 'sal', 'per', 'principal', 'semana', 'salud']	['hotel', 'hotels', 'hoteles', 'hotelreview', 'hotelconencanto', 'hotelnubesbar', 'latrepadora_hotel', 'huperhotel', 'visitando', 'plaza']	['hotel', 'capital', 'suites', 'ciudad', 'central', 'hotels', 'eurobuilding', 'located', 'hoteles', 'visitando']	['i m at plaza hotel in', 'i m at hotel in', 'i m at hotel in ']	 Central City Hotels & Living	" ""Hotel Discoveries around Central City"""
11	60	11_mujeres_mujer_feminista_activista	['mujeres', 'mujer', 'feminista', 'activista', 'lucha', 'gnero', 'cncer', 'da', 'feministas', 'women', 'internacional', 'trans', 'mismas', 'mundo', 'igualdad', 'dos', 'regin', 'candidatas', 'karianny', 'feminist', 'mulheres', 'polticas', 'hora', 'blogger', 'feminismo', 'leer', 'ms', 'mama', 'registrada', 'futuras']	['feministas', 'feminista', 'feminist', 'mulheres', 'mujeres', 'feminismo', 'women', 'femenina', 'mujer', 'madres']	['mujeres', 'mujer', 'feminista', 'activista', 'feministas', 'feminist', 'mulheres', 'polticas', 'blogger', 'feminismo']	['se solidarizan mujeres biencon mujeres iranes ah pero cuando hay una lucha feminista en son las mismas que critican no me representan son fminazis no a las protestas miren como dejan las calles ninguna lucha se gan en las calles mis derechos me los gane yo ', 'como todos los aos hoy y el mundo se tien de rosa para apoyar a las mujeres que sufren o han sufrido cncer de mama un tumor que es el ms frecuente en las mujeres segn datos de la asociacin contra', 'votoporunamujer mujeres madres futuras madres abuelas esta en nuestras manos el futuro de nuestros hijos y nietos si somos mas del de mujeres en el digamos no al comunismo no al terrorismo las mujeres unidas por un per en democracia ']	 Women's Rights & Feminism2	 #FeminismAndActivism
12	51	12_running_fitness_gym_runner	['running', 'fitness', 'gym', 'runner', 'workout', 'entrenamiento', 'morgan', 'runningmotivation', 'fuxioncorazn', 'instarunners', 'run', 'listo', 'saludable', 'ejercicio', 'salud', 'ms', 'cardio', 'runninglife', 'triathlon', 'xauxasrunners', 'mightymindadinfinitum', 'crlh', 'encarei', 'cumplido', 'fuxion', 'nike', 'adidas', 'body', 'challenge', 'noite']	['runner', 'maratona', 'runninglife', 'runningmotivation', 'running', 'fitness', 'runningcommunity', 'run', 'fitnessmotivation', 'workout']	['running', 'fitness', 'gym', 'runner', 'workout', 'runningmotivation', 'ejercicio', 'cardio', 'runninglife', 'triathlon']	['ganadesdeadentro con cada entrenamiento cumplido junto a fmolestinae y vueltas en la prez perazo runner running run training prezperazo en ', '12k a c fuxion fuxioncorazn instarunners runner running runningcommunity runningmotivation runninglife en ', '10k a c fuxion fuxioncorazn instarunners runner runninglife running runningmotivation en ']	 Fitness & Running Community	" Fitness and Running Community
This looks"
13	51	13_casos_confirmados_covid_19	['casos', 'confirmados', 'covid', '19', 'covid19', 'positivos', 'fallecidos', 'nuevos', 'total', 'delta', 'cifra', 'covid_19', 'noscuidamosentretodos', 'positividad', 'recuperados', 'quedateencasa', 'porcentaje', 'ltimas', 'variacin', 'confirm', 'datos', 'diaria', 'ocho', 'registra', 'qudateencasa', 'salud', 'pacientes', 'reporte', 'fuente', 'contagios']	['covid_19', 'covid19', 'covid', 'casos', 'confirmados', 'pruebas', 'caso', 'cuarentena', 'confirma', 'reporteprimicia']	['casos', 'confirmados', 'covid19', 'fallecidos', 'variacin', 'datos', 'qudateencasa', 'salud', 'pacientes', 'contagios']	[' sucumbios casos positivos confirmados de covid 19 variacin diaria de casos positivos confirmados fallecidos confirmados de covid 19 quedateencasa noscuidamosentretodos', ' guayas casos positivos confirmados de covid 19 variacin diaria de casos positivos confirmados fallecidos confirmados de covid 19 quedateencasa noscuidamosentretodos', ' suman nuevos casos de covid19 en departamentos del pas haciendo un total de casos confirmados hasta la fecha los nuevos casos confirmados son casos casos casos oruro casos beni casos fue un da difcil']	" COVID-19 Daily Updates
Explanation"	 COVID-19 Statistics Update 
14	51	14_tt_convertirse_ocupando_posicin	['tt', 'convertirse', 'ocupando', 'posicin', 'acaba', 'trndnl', 'ms', 'guardiola', 'jacson', 'mpetu', 'gilbert', 'league', 'wwefastlane', 'levy', 'luciana', 'mcevoy', 'morelia', 'lacasaquenosdivide', '02mar', 'munder', 'violeta', 'nassib', 'neme', 'pita', 'preliminarrequesens', 'rapahel', 'silvestri', 'smith', 'urdesa', 'bach']	['tt', 'trndnl', 'jos', 'mpetu', 'convertirse', 'nassib', 'munder', 'miguel', 'tica', 'galo']	['tt', 'guardiola', 'wwefastlane', 'luciana', 'morelia', 'lacasaquenosdivide', 'violeta', 'nassib', 'preliminarrequesens', 'silvestri']	[' parque del este acaba de convertirse en tt ocupando la posicin en ms en', ' fueron acaba de convertirse en tt ocupando la posicin en ms en trndnl', ' acaba de convertirse en tt ocupando la posicin en ms en trndnl']	" Soccer News & Trends
The"	" ""Sports & Entertainment"""
15	49	15_incendio_bomberos_incendios_forestal	['incendio', 'bomberos', 'incendios', 'forestal', 'rescate', '10', 'pastizales', 'forestales', 'chilln', 'quema', 'voluntarios', 'unidades', 'empresa', 'fuego', 'norte', 'cuerpo', 'detected', 'atrapada', 'sentinel2', 'quisco', 'b5', 'ascensor', 'despacha', 'lugar', 'fire', 'helicpteros', 'focos', 'location', 'habitacin', 'concurre']	['bomberos', 'incendios', 'incendio', 'fuego', 'fire', 'quema', 'forestal', 'forestales', 'emergenciascbs', 'emergenciasuble']	['incendio', 'bomberos', 'incendios', 'rescate', 'forestales', 'fuego', 'quisco', 'ascensor', 'fire', 'location']	['incendio forestal en varias unidades combaten el incendio en la base naval norte', 'bomberos y vecinos trabajan para controlar incendio en sector de la comuna de', 'incendio de pastizales rotonda concurre bomberos en ']	" Forest Fire Rescue
Make sure that"	" Wildfires and Rescue Efforts
"
16	47	16_whatsapp_envo_pedidos_directo	['whatsapp', 'envo', 'pedidos', 'directo', 'giuliano', 'sexshop', 'ignacio', 'novedades', 'informacin', 'oferta', 'familiar', 'sexshopplaceressecretos', 'computacin', 'sextoys', 'mnes', 'jugueteseroticos', '4769793', 'precios', 'comercial', 'tallas', 'santacruzdelasierra', 'sexo', 'incluye', 'banco', 'misiones', 'tcnico', 'delivery', 'servicio', 'frente', 'domicilio']	['whatsapp', 'tiendaropa', 'comercial', 'sexshopplaceressecretos', 'santacruzdelasierra', 'santacruzbolivia', 'banco', 'oferta', 'disponibles', 'pronostica']	['whatsapp', 'sexshop', 'sexshopplaceressecretos', 'sextoys', 'jugueteseroticos', '4769793', 'precios', 'santacruzdelasierra', 'sexo', 'delivery']	['ms info en o por whatsapp al en centro montevideo ', 'giuliano comercial whatsapp frente al banco familiar y en ', 'oferta mil gs giuliano comercial whatsapp frente al banco familiar misiones en mnes ']	" ""Online Sex Shop Deals"""	" ""Online Sex Toy Retailer Promotions &"
17	45	17_earthquake_km_sismo_utc	['earthquake', 'km', 'sismo', 'utc', 'temblor', 'm4', 'reports', 'felt', 'usgs', 'ago', 'min', 'sinti', '11', 'fuerte', 'magnitud', '21', '20', 'm3', 'epicentro', 'profundidad', '32', '24', '18', 'sismos', 'strikes', 'geofsico', '43', 'sw', 'wsw', 'report']	['earthquake', 'sismo', 'quake', 'sismos', 'usgs', 'kilmetros', 'km', 'm4', 'temblor', 'geologo']	['earthquake', 'km', 'sismo', 'temblor', 'reports', 'usgs', 'magnitud', 'sismos', 'geofsico', 'wsw']	['temblor earthquake m 26 utc 24 18 km felt to km twitter ', 'usgs reports a m4 1 earthquake km sw of on 24 21 50 11 utc earthquake', 'usgs reports a m4 4 earthquake km wsw of on 10 20 00 11 utc earthquake']	 Earthquake reports & measurementsHow	" ""Earthquake Reports""
Do"
18	40	18_libro_libros_lectura_cultura	['libro', 'libros', 'lectura', 'cultura', 'leer', 'megustaleer', 'librera', 'adquirir', 'bibliotecas', 'ejemplares', 'gimenez', 'comprar', 'libreras', 'book', 'etc', 'independientes', 'tambin', 'autor', 'pas', 'festival', 'envos', 'colegio', 'honor', 'pblicas', 'saludos', 'feria', 'municipal', 'cuento', 'obra', 'llama']	['lecturadecuarentena', 'lecturas', 'leitura', 'lectura', 'libro', 'librito', 'literarias', 'reading', 'libros', 'feriadellibro']	['libros', 'lectura', 'cultura', 'megustaleer', 'librera', 'gimenez', 'libreras', 'tambin', 'pblicas', 'feria']	['un honor haber recibido hoy el reciente libro de jc faidutti donde narra la experiencia de haber compartido su hogar con elprofetavelasco ibarra 5 veces presidente del una lectura amena q devela el lado ms ntimo d quien domin la escena poltica del pas x medio siglo', 'alba desde nuestra pgina de facebook qu libro leo nos cuenta que est leyendo tu no matars de julia navarro megustaleer libros leer megustaleer quelibroleo leoycomparto ', 'ayuda mis hermanos as qu es lo ms adecuado leer un libro diferente cada da leer un solo libro todos los das hasta terminarlo saludos desde']	" Book Festival & Culture
This has"	 Book Festival or Literary Event
19	36	19_bicicleta_bicicletas_ciclismo_r4	['bicicleta', 'bicicletas', 'ciclismo', 'r4', 'ciclova', 'licencia', 'moto', 'ciclista', 'bikers', 'ciclistas', 'pedaleando', 'balin', 'pedaleda', 'bmx', 'haraganes', 'enduro', 'pedal', 'cycling', 'peatones', 'huila', 'trmite', 'andar', 'motos', 'dientes', 'juvenil', 'cuarta', 'categora', 'lago', 'primera', 'sueo']	['ciclismo', 'ciclomarchaconce', 'ciclista', 'pedaleando', 'bicicleta', 'cycling', 'motociclismo', 'ciclistas', 'bicicletas', 'pedalistas']	['bicicleta', 'bicicletas', 'ciclismo', 'licencia', 'ciclista', 'bikers', 'ciclistas', 'pedaleando', 'pedaleda', 'cycling']	['impresin de licencia para motocicletas de cualquier cilindraje categora a2 trmite para obtener licencia de conduccin primera vez para personas de jamund y alrededores somos tu gua en todo el trmite licencia conduccion pase autoescuela transito moto ', 'sonqocalivalle2021 bmx kingman koochoy culmin su participacin en ciclismo bmx de los i juegos panamericanos junior cali valle r4 1 r4 2 r4 3 semi general gracias por el esfuerzo vamos ', 'y si se promueve el uso de la bicicleta en cuando volvern la ciclova de la av arequipa exclusiva para bicicletas ahora es solo la mitad ciclova para bicicletas y veredas laterales para peatones sera lgico no ']	" Cycling & Motorbiking
This"	" Cycling Culture
Explanation: The main"
20	36	20_narco_drogas_narcotrfico_narcotrafico	['narco', 'drogas', 'narcotrfico', 'narcotrafico', 'droga', 'mxico', 'nas', 'marihuana', 'cartel', 'uma', 'solto', 'criminal', 'liberdade', 'maconha', 'carteles', 'bons', 'legalizada', 'cocana', 'com', 'personalizados', 'traficantes', 'evite', 'col', 'transportistas', 'haciendo', 'onde', 'hecha', 'pases', 'coca', 'conocen']	['narcotrfico', 'narcotrafico', 'traficantes', 'narcoacuerdo', 'narco', 'cocana', 'narcojusticia', 'droga', 'narxos', 'coca']	['narco', 'drogas', 'narcotrfico', 'narcotrafico', 'mxico', 'marihuana', 'maconha', 'legalizada', 'cocana', 'traficantes']	['y su padre decidi traicinar a y negociar el no q gano plesbicito con nobelbretch pirq al igual q mafistrados cartel toga narcojusticia farc hecha ley hecha la trampa col dijo no a ilegal criminal narcoacuerdo hab farcsa su padre es un traidor vendio col', 'a coca uma folha sagrada companheira de longa data nas lutas indgenas com liberdade e dignidade uma planta medicinal e legalizada na e por isso fcil encontrar diversos produtos com a coca desde chs bolos e at pasta dental ', 'estudei em particular tradicional aqui do onde rolava solto no diretrio e nas salas estratgicas falcia que nas pblicas droga come solto e nas demais h reunies quase eclesisticas entre os discentes rs uso e defendo a liberdade de quem d um ']	" ""Drugs, Cartels & Legal"	 Drug Trafficking and Legalization Discussion
21	35	21_perros_dogs_perro_dog	['perros', 'dogs', 'perro', 'dog', 'perdi', 'perrito', 'animales', 'necesitan', 'tita', 'perrita', 'cookie', 'perritos', 'cachorro', 'galletas', 'abandonado', 'urgente', 'mascota', 'clnica', 'favor', 'familia', 'casa', 'barrio', 'triste', 'love', 'qu', 'desee', 'pantera', 'desaprovecha', 'penelope', 'djanos']	['perrito', 'perritos', 'mascota', 'cachorro', 'poodle', 'perri', 'perro', 'pets', 'dog', 'perros']	['perros', 'dogs', 'perro', 'dog', 'perrito', 'perritos', 'cachorro', 'galletas', 'mascota', 'familia']	['cookie cocker cookie perro mascota dog foto photography blancoynegro blackandwhite inlove ella en ', 'chuta es la clnica del dr vergara all van mis perros cuando vamos a voy a averiguar qu cresta pas hace ms de aos q atiendo a mis animales all qu triste ', 'queran que se muestre todo nove jajajaja perros paraguayo prensa news dogs teleferico en ']	" ""Lost & Adoptable Dogs"""	" ""Animal Rescue & Adoption"""
22	34	22_bandera_nacional_smbolo_patuju	['bandera', 'nacional', 'smbolo', 'patuju', 'independencia', 'lucha', 'celebra', 'himno', 'orgullo', 'patrio', 'provida', 'tricolor', 'feliz', 'rincn', 'sienten', 'colonia', 'flor', 'celebramos', 'hace', 'hoy', 'ah', 'batalla', 'indgena', 'da', 'representa', 'ver', 'hermosa', 'seguimos', 'total', 'pionera']	['bandera', 'patrio', 'celebramos', 'celebra', 'orgullo', 'patria', 'nacional', 'patuju', 'vernos', 'celebraron']	['bandera', 'nacional', 'patuju', 'independencia', 'orgullo', 'patrio', 'tricolor', 'celebramos', 'batalla', 'pionera']	['que hace la bandera de ah ', 'historico hoy se incorpora la bandera flor de patuju la bandera de la que representa al occidente la bandera de la flor del patuju que representa al y nuestra hermosa bandera de libre hace todo bien', 'feliz da de la bandera nacional']	" National Pride Symbols
Can you"	" National Pride Celebrationread more »
"
23	31	23_empresarial_emprendimiento_emprendedores_empleo	['empresarial', 'emprendimiento', 'emprendedores', 'empleo', 'crecimiento', 'valor', 'ocp', 'empresas', 'negocios', 'ecommerce', 'dan', 'experiencia', 'interno', 'colaboradores', 'necesita', 'gerente', 'empresarios', 'formacin', 'mejor', 'encanta', 'negocio', 'ms', 'cambiar', 'hrs', 'oportunidad', 'desarrollo', 'empresa', 'travs', 'amp', 'informacin']	['emprendedorpontelaspilasok', 'emprendedorlastima', 'emprendedores', 'emprendimiento', 'empresarios', 'empresarial', 'negociosdigitales', 'negociosdesdecasa', 'empresas', 'empresa']	['empresarial', 'emprendimiento', 'emprendedores', 'empleo', 'empresas', 'negocios', 'ecommerce', 'gerente', 'empresarios', 'negocio']	['somos nodusbrandcoworking una nueva forma de espacio y trabajo colaborativo que fomenta el crecimiento personal y empresarial mientras haces negocios y generas las mejores oportunidades a travs del networking estamos en tulugardecrecimiento', 'estimado no hay empleo pero si emprendimiento por favor su gentil rt de venta cobertores nicos modelos informacin adicional mensaje interno o carlos_ulloap com emprendimiento saludos ', 'pagalofacil llegar muy pronto para cambiar toda tu experiencia de hacer las compras y conectarte al futuro espralo 18may metodosdepago ecommerce tecnologia emprendimiento emprendedores negocio oportunidad']	" ""Business Growth & Entrepreneurial Opportunities"""	 Business Growth & Entrepreneurship This is likely
