Topic	Count	Name	Representation	KeyBERT	MMR	Representative_Docs	about-label_prompt1	about-label_prompt2
9	377	9_coronavirus_covid19_covid_vaccine	['coronavirus', 'covid19', 'covid', 'vaccine', '19', 'cases', 'virus', 'vaccination', 'vaccinated', 'corona', 'covid_19', 'vacunas', 'casos', 'vacunacin', 'infection', 'test', 'covid2019', 'health', 'vaccines', 'people', 'rate', 'lockdown', 'new', 'pandemic', 'deaths', 'infections', 'amp', 'spread', 'rates', 'today']	['coronavirus', 'coronaviruspandemic', 'coronarvirusitalia', 'coronavirusupdate', 'coronaoutbreak', 'virus', 'corona', 'outbreak', 'covid2019', 'epidemic']	['coronavirus', 'vaccine', 'virus', 'vaccination', 'vacunas', 'vacunacin', 'covid2019', 'vaccines', 'pandemic', 'deaths']	['breaking: first case of coronavirus in is confirmed in girl, , who travelled to and was already in quarantine parents have now tested positive ( today) coronavirus covid19 covid19 covid_19', 'breaking: lockdown for people; five new coronavirus cases confirmed (times of ) coronavirus covid_19 covid19 coronacrisis covid19 covid2019', 'coronavirus ']	 COVID-19 Vaccine & Infection Rates	 COVID-19 Vaccination & Infection
10	376	10_fashion_shop_shopping_handmade	['fashion', 'shop', 'shopping', 'handmade', 'style', 'hair', 'earrings', 'jewelry', 'shoes', 'collection', 'bag', 'shirt', 'new', 'dress', 'store', 'black', 'diamonds', 'ootd', 'mystyle', 'wear', 'design', 'online', 'outfit', 'fashionista', 'model', 'platinum', 'love', 'available', 'designer', 'nike']	['fashionista', 'fashion', 'moda', 'fashionblogger', 'glamour', 'dress', 'glam', 'style', 'beauty', 'clothing']	['fashion', 'shop', 'shopping', 'handmade', 'earrings', 'jewelry', 'shoes', 'dress', 'wear', 'fashionista']	['things will change vnv glamour quotes fashion vassiliosnicolaosvitsilogiannis journalist magazine newyork    mydubai  fashionista lifestyle media model style photography', 'things will change vnv glamour quotes fashion vassiliosnicolaosvitsilogiannis journalist magazine newyork    mydubai  fashionista lifestyle media model style photography ', 'outfit on a casual sunday ... . . fashion mystyle monaco lifestyle ootd']	" ""Fashion Shopping & Accessories""}"	" ""High-End Fashion Shopping"""
11	349	11_bed_house_sale_apartment	['bed', 'house', 'sale', 'apartment', 'detached', 'realestate', 'property', 'semi', 'terraced', 'furnished', 'co', 'bedroom', 'beach', 'price', 'realtor', 'rent', 'reduced', 'cork', 'quick', 'realestateagent', 'view', 'top', 'estate', 'ft', 'sal', 'broker', 'penthouse', 'sunnybeach', 'properties', 'apartments']	['bedroom', 'apartament', 'bed', 'residence', 'apartment', 'house', 'alquilervacacional', 'bungalow', 'apartments', 'penthouse']	['house', 'realestate', 'terraced', 'bedroom', 'price', 'realtor', 'realestateagent', 'estate', 'penthouse', 'apartments']	[', , | bed detached house m .. | |  ', ', , , .. | bed detached house m.. | |  _', 'a , , | bed detached house m /.. | |  ']	 Real Estate Listings- Stack	" ""Real Estate Listings"""
12	344	12_earthquake_min_km_ago	['earthquake', 'min', 'km', 'ago', 'strikes', 'eyewitnesses', 'felt', 'm3', 'trmet', 'm2', 'effects', 'report', 'stories', 'map', 'reported', 'please', 'm4', 'read', 'nw', 'm1', 'potres', 'share', 'reports', 'amp', 'received', 'following', 'sw', 'updated', 'far', 'local']	['terremoto', 'earthquake', 'sismo', 'cutremur', 'earthquakes', 'quakes', 'quake', 'seismic', 'tremor', 'km']	['earthquake', 'km', 'strikes', 'eyewitnesses', 'm2', 'effects', 'map', 'reports', 'amp', 'local']	['felt earthquake (trmet) m3.2 strikes km se of  ( ) min ago. please report to:', 'felt earthquake (trmet) m3.9 strikes km s of  ( ) min ago. please report to:', 'felt earthquake (trmet) m3.8 strikes km se of  ( ) min ago. please report to:']	" ""Earthquake Effects Reports""
"	" ""Earthquake Reports & Eyewitness Accounts"
13	324	13_live_vivir_greater_living	['live', 'vivir', 'greater', 'living', 'vivo', 'distrito', 'campus', 'duty', 'co', 'oostende', 'rossio', 'check', 'home', 'zh', 'know', 'quiero', 'station', 'morar', 'hu', 'lidl', 'move', 'vives', 'bu', 'guaita', 'important', 'usted', 'casa', 'province', 'viviendo', 'lago']	['living', 'viviendo', 'vivir', 'vives', 'live', 'quiero', 'vivo', 'onde', 'casa', 'home']	['vivir', 'living', 'distrito', 'campus', 'oostende', 'home', 'station', 'morar', 'vives', 'guaita']	['you live in ?', 'i live in', 'live now from']	 Living & Moving AroundAs	 Living Arrangements & Localities #1
14	241	14_bike_cycling_bicycle_cycle	['bike', 'cycling', 'bicycle', 'cycle', 'bikes', 'ride', 'bici', 'infra', '00', 'riding', 'training', 'km', 'lanes', 'day', 'bikelife', 'biking', 'mtb', 'marsa', 'biker', 'lane', 'cyclinglife', 'today', 'route', 'cyclists', 'around', 'fun', 'guidelines', 'back', 'road', 'cycletouring']	['bici', 'cycling', 'ciclismo', 'bicicleta', 'cyclingempire', 'biking', 'bike', 'biketrip', 'cyclinglife', 'bicycle']	['bike', 'cycling', 'bikes', 'bici', 'bikelife', 'biking', 'biker', 'cyclinglife', 'cyclists', 'cycletouring']	"['guess what bike. ,', 'night cycling. ,', ""it's me! in ! on a bike! am i a local now? ,""]"	 Cycling Infrastructure & Routes1 Like	" Cycling Infrastructure [...]
It"
15	184	15_country_smallest_world_countries	['country', 'smallest', 'world', 'countries', 'one', 'visited', 'th', 'list', 'bg', 'tiny', 'state', 'best', 'great', 'landlocked', 'ive', 'city', 'smaller', 'people', 'know', 'within', 'last', 'travel', 'heard', 'mundo', 'sovereign', 'two', 'small', 'size', 'trip', 'amazing']	['smallestcountryintheworld', 'smallestcountry', 'countries', 'smallest', 'country', 'tiny', 'mundo', 'small', 'smaller', 'world']	['country', 'smallest', 'countries', 'visited', 'state', 'landlocked', 'city', 'mundo', 'sovereign', 'trip']	['the smallest country in the world', 'the smallest country in the world ,', 'at the its smallest country in the world!']	" Tiny Landlocked Nations
"	" Microscopic Nation Travelogue
["
16	169	16_cat_cats_dog_male	['cat', 'cats', 'dog', 'male', 'dogs', 'lost', 'catsofinstagram', 'lpie', 'catsoftwitter', 'puppy', '2019', 'female', 'animals', 'dogsofinstagram', 'pets', 'found', 'pelt', 'stray', 'old', 'adoptdontshop', 'family', 'help', '2020', 'furry', 'love', 'via', 'catstagram', 'lynx', 'hedgewatch', 'golf']	['cat', 'gatos', 'cats', 'catslife', 'catlife', 'katzenworld', 'kittens', 'catlover', 'catsrule', 'catsofinstagram']	['cats', 'lost', 'catsofinstagram', 'catsoftwitter', 'dogsofinstagram', 'pets', 'family', 'furry', 'catstagram', 'lynx']	['male cat lost on /11/2019 in ,  , - lpie', 'cat lost days ago - , ,', 'love the cat , ,']	" Animal Adoption & Stray Pets
"	 #PetRescueAndAdoption
17	166	17_sunrise_length_utc_noon	['sunrise', 'length', 'utc', 'noon', 'sunset', 'morning', 'good', 'cet', 'day', 'cest', 'december', 'april', 'eet', 'january', '01', 'february', '59', 'october', '55', '46', '25', '39', 'march', 'eest', 'june', '06', '02', '34', '14', '16']	['25am', 'sunrise', 'morning', '16am', '27am', '08pm', 'noon', 'day', '49am', '12pm']	['sunrise', 'length', 'utc', 'noon', 'sunset', 'morning', 'day', 'december', 'april', '06']	['good morning, ! sunrise :07, noon :03, sunset :00 cet (utc+1), march . day length: h m.', 'good morning, ! sunrise :22, noon :41, sunset :00 cet (utc+1), december . day length: h m.', 'good morning, ! sunrise :08, noon :01, sunset :55 cet (utc+1), march . day length: h m.']	 **Time Zones & Seasonal Days**	 Time, Day, & Weather
18	123	18_blockchain_crypto_bitcoin_meetup	['blockchain', 'crypto', 'bitcoin', 'meetup', 'cryptocurrency', 'metaverse', '1000x', '100x', 'bsc', 'doxxedteam', 'erc20', 'marketcap', 'kata', 'nft', 'skip', 'straight', 'low', 'web', 'technology', 'xrp', 'btc', 'moon', 'summit', 'cryptonaires', 'conference', 'twitter', 'ethereum', 'regulation', 'digital', 'data']	['blockchain', 'blockchaineconomy', 'cryptocurrency', 'bitcoin', 'cryptocurrencies', 'cryptofinance', 'crypto', 'cryptonaires', 'transactions', 'tokens']	['blockchain', 'crypto', 'bitcoin', 'cryptocurrency', 'doxxedteam', 'erc20', 'marketcap', 'web', 'cryptonaires', 'digital']	['. blockchain meetup see you there blockchain meetup  bitcoin lightningnetwork', 'day at the blockchain summit in  crypto blockchain ai expo cannabis technology', 'blockchain consulting services  nice to see all these details about blockchain and crypto currency.  cryptowallet crypto bitcoins blockchain']	" Crypto Blockchain Conference .
"	 Web3 Crypto Conference Words:
19	104	19_foodwaste_free_unitedkingdom_sandwich	['foodwaste', 'free', 'unitedkingdom', 'sandwich', 'organic', 'bread', 'pret', 'bun', 'fresh', 'buns', 'pastry', 'cheese', 'ham', 'donated', 'baguette', 'cinnamon', 'seeds', 'kindly', '2x', 'pesso', 'vegan', 'caffe', 'tesco', 'dk', 'tomatoes', 'sweet', 'salad', 'bowl', 'mixed', 'red']	['foodwaste', 'food', 'glutenfree', 'vegan', 'vegantravel', 'wholemeal', 'organic', 'sandwiches', 'soup', 'sandwich']	['foodwaste', 'free', 'sandwich', 'organic', 'bread', 'buns', 'pastry', 'vegan', 'salad', 'bowl']	"['""organic soup"" in  unitedkingdom foodwaste free', '""sandwich from "" in   foodwaste free', '"" "" in   foodwaste free']"	" ""UK Food Waste Donations""?"	 Food Waste Reduction & Free Sandwiches Initiative
20	100	20_fitness_gym_workout_exercise	['fitness', 'gym', 'workout', 'exercise', 'training', 'health', 'gymlife', 'bodybuilding', 'abs', 'wellbeing', 'physical', 'ejercicio', 'chest', 'coaching', 'weight', 'semanas', 'balance', 'center', 'course', 'improve', 'musclegirl', 'fisioterapia', 'osteopathy', 'metabolic', 'chiropractic', 'bodybybentt', 'thm', 'sedentary', 'fitnessgirl', 'legday']	['workout', 'fitness', 'gym', 'gymlife', 'exercise', 'fitnessgirl', 'ejercicio', 'bodybuilding', 'fisioterapia', 'entreno']	['fitness', 'gym', 'workout', 'exercise', 'gymlife', 'bodybuilding', 'ejercicio', 'musclegirl', 'fisioterapia', 'fitnessgirl']	"[""i'm getting ready for the holidays. christmas holidays holidayseason gymlife gym gymmotivation  sibiu staystrong stayfit fitness fitnessgirl fitwife motivation abs workout workoutmotivation"", 'see you this weekend , ! fitness   amateurolympia  fitness', ""many days i don't exercise, i miss the gym ,""]"	" Health & Fitness Training
These"	 Fitness & Wellbeing Words:
21	85	21_phone_card_service_shipping	['phone', 'card', 'service', 'shipping', 'pay', 'store', 'would', 'delivery', 'online', 'tried', 'dont', 'failure', 'apple', 'cash', 'buy', 'money', 'customer', 'avis', 'banks', 'year', 'shop', 'deliver', 'sim', 'even', 'credit', 'parcel', 'number', 'buys', 'pickup', 'coco']	['paypal', 'service', 'customer', 'blocked', 'failure', 'debit', 'store', 'online', 'scam', 'mail']	['phone', 'card', 'shipping', 'store', 'delivery', 'online', 'apple', 'cash', 'customer', 'credit']	['failure of service day-638 blocked by  for raising this legitimate service failure on social media.   coco your love visit events shop  love yourcouncil', 'failure of service day-494 blocked by  for raising this legitimate service failure on social media.   coco your love visit events shop  love yourcouncil', 'failure of service day-494 blocked by  countycouncil a publicly funded public service org for raising a public service issue on social media.   coco your love visit events shop']	 E-commerce Payment & Delivery Issues	 E-commerce Transactions”
22	84	22_casino_monaco_monte_montecarlo	['casino', 'monaco', 'monte', 'montecarlo', 'montecarlomonaco', 'carlo', 'casinomontecarlo', 'poker', 'principality', 'casinosmontecarlo', 'winnings', 'roulette', 'cotedazur', 'fancy', 'montecarlocasino', 'vacances', 'night', 'lost', 'pokerdad', 'pokerlife', 'pokerpro', 'pokeronline', 'pokerdadlife', 'hoteldeparismontecarlo', 'pokerplayer', 'joannabujoli', 'martini', 'grinch', 'slot', 'jmlpyt']	['casino', 'casinosmontecarlo', 'casinomontecarlo', 'gambling', 'pokerslotnlhd', 'pokerlife', 'gamblinglaw', 'gamble', 'roulette', 'poker']	['casino', 'casinomontecarlo', 'poker', 'casinosmontecarlo', 'roulette', 'pokerdad', 'pokerlife', 'pokerpro', 'pokeronline', 'pokerplayer']	['welcome to monaco at casino casino de', 'em casino de', 'when in ........ casino de']	 Luxury Casino Gaming .	 Monte Carlo Casino Poker Night #G
23	83	23_book_read_books_poetry	['book', 'read', 'books', 'poetry', 'reading', 'poems', 'novel', 'library', 'literature', 'copy', 'new', 'bookstore', 'bestseller', 'fiction', 'amp', 'lectura', 'looking', 'forward', 'order', 'libro', 'holiday', 'today', 'one', 'magazine', 'happy', 'booklovers', 'bookstagram', 'campengabacho', 'authors', 'drakon']	['booklovers', 'book', 'lectura', 'bestseller', 'livro', 'books', 'literature', 'libro', 'literatura', 'reading']	['book', 'books', 'reading', 'poems', 'literature', 'bookstore', 'bestseller', 'holiday', 'booklovers', 'bookstagram']	"['today we launched the international book club at ! we watched book reviews from and submitted some greetings on for our partners from to watch. we love reading .do you?', 'wonderful afternoon in the library, in the company of the poet elena dereli nani, who presented her new poetry book &amp; our students reciting or reading her poems. even the coming winter looks idyllic and hopeful! booklovers poetry poetsoftwitter ', ""finished this awesome book in less than a week! as always with books, once you pick it up, you can't put it down!! book reading novel crime ,""]"	" ""Literature & Book Lovers"""	" ""Literature Lovers & Book Club"""
